18.211827,42.503325,,Abha Branch,"City: ABHA
Region: Western"
18.211827,42.503325,,Abha Branch,"Address: Umar Ibn Abdulaziz





City: ABHA
Region: Western"
26.40355079,50.10284607,,Al-Andalus Branch  ,"Address: Ali Bin Abe talib





City: DAMMAM
Region: Eastern"
21.355468,39.890124,,Alawali Branch,"Address: Ibrahaim AlJafali





City: MAKKAH
Region: Western"
21.412105,39.865949,,AlAziziah Branch,"City: Makkah
Region: Western"
24.588777,46.625397,,AlBadiah Branch,"City: Riyadh
Region: Central"
24.588777,46.625397,,AlBadiah Branch,"Address: Thahrat AlBadeiah





City: RIYADH
Region: Central"
20.015375,41.454664,,AlBaha Branch,"City: BAHA
Region: Western"
20.015375,41.454664,,Al-Baha Branch,"Address: King Abdul Aziz 





City: ALBAHA
Region: Western"
21.680514,39.124181,,Albasateen Branch,"City: JEDDAH
Region: Western"
21.680514,39.124181,,Al-Basateen Branch,"Address: Ismail Ibn Kathir,





City: JEDDAH
Region: Western"
26.323494,50.162598,,AlDoha Branch,"City: DHAHRAN
Region: Eastern"
26.323494,50.162598,,Al-Doha Branch  ,"Address: Abdullah Bin Abbas





City: DHAHRAN
Region: Eastern"
26.4053064,50.06071702,,Al-Faisaliyah Dammam,"Address: Omar Bin Al Khatab





City: DAMMAM
Region: Eastern"
26.4053064,50.06071702,,Al-Faisaliyah Dammam,"City: DAMMAM
Region: Eastern"
24.777429,46.664062,,Al-Ghadeer Branch,"City: RIYADH
Region: Central"
24.777429,46.664062,,Al-Ghadeer Branch,"Address: King Abdulaziz Rd





City: RIYADH
Region: Central"
21.750843,39.187296,,AlHamadania Branch,"City: Jeddah
Region: Western"
21.750843,39.187296,,Al-Hamadania Branch,"City: JEDDAH
Region: Western"
24.765782,46.755801,,AlHamra Branch,"City: RIYADH
Region: Central"
24.765782,46.755801,,Al-Hamrah Branch  ,"Address: King adullah





City: RIYADH
Region: Central"
29.958436,40.205754,,AlJouf Main Branch,"City: SAKAKA
Region: Central"
29.958436,40.205754,,Al-Jouf Main Branch  ,"Address: King Fahad bin Abdulaziz





City: sakaka
Region: Central"
25.35446907,49.59242965,,AlKhaldiyah Hofuf Branch,"City: ALAHSA
Region: Eastern"
25.35446907,49.59242965,,Al-Khaldiyah Hofuf Branch,"Address: King Abdulaziz





City: Alahsa
Region: Eastern"
24.762724,46.810865,,Al-Khaleej Branch,"Address: Salman Al Farsi,





City: RIYADH
Region: Central"
24.762724,46.810865,,Alkhaleej Branch Khorais Road Exit30,"City: RIYADH
Region: Central"
24.166304,47.338283,,AlKharj Branch,"City: KHARJ
Region: Central"
24.166304,47.338283,,AlKharj Branch,"Address: King Fahad bin Abdulaziz





City: KHARJ
Region: Central"
26.303226,50.210396,,AlKhobar Main Branch,"City: Khobar
Region: Eastern"
26.300657,50.172162,,AlKhobar Olaya Branch,"City: KHUBAR
Region: Eastern"
26.300657,50.172162,,Al-Khobar Olaya Branch,"Address: Bashar Bin Bord





City: KHUBAR
Region: Eastern"
21.669694,39.110033,,Al-Malek Road Branch,"Address: King Abdul Aziz 





City: JEDDAH
Region: Western"
21.620403,39.190642,,Al-Marwah Branch,"Address: Hira St





City: JEDDAH
Region: Western"
21.620403,39.190642,,Al-Marwah Branch,"City: JEDDAH
Region: Western"
25.42017,49.56190,,AlMubaraz Main Branch,"City: ALAHSA
Region: Eastern"
25.42017,49.56190,,Al-Mubaraz Main Branch  ,"Address: Makkah Rd





City: Alahsa
Region: Eastern"
21.608431,39.131693,,Al-Nahada Branch,"Address: Hira St





City: JEDDAH
Region: Western"
21.608431,39.131693,,Alnahada Brancha,"City: JEDDAH
Region: Western"
24.750885,46.624657,,Al-Nakheel Branch,"City: RIYADH
Region: Central"
24.750885,46.624657,,Al-Nakheel Branch,"Address: An Nakheel





City: RIYADH
Region: Central"
24.73415,46.815054,,Alnaseem Branch,"City: RIYADH
Region: Central"
24.734154,46.815054,,Al-Naseem Branch,"Address: Saad Ibn Abi Waqas





City: RIYADH
Region: Central"
26.5602247,50.0365659,,Al-Qatif Main Branch,"City: QATIF
Region: Eastern"
26.56106998,50.01309671,,Al-Quds Branch,"Address: AL Qods





City: QATIF
Region: Eastern"
26.36627659,50.20562768,,Al-Rakah Branch,"Address: King Faisal





City: KHUBAR
Region: Eastern"
26.36627659,50.20562768,,Al-Rakah Branch,"City: KHUBAR
Region: Eastern"
24.729065,46.767134,,AlRawdah Branch,"City: RIYADH
Region: Central"
21.562984,39.164643,,Alrawdah Branch Jeddah,"City: JEDDAH
Region: Western"
21.562984,39.164643,,Al-Rawdah Branch Jeddah,"Address: Prince Saud Al Faisal





City: JEDDAH
Region: Western"
24.729065,46.767134,,Al-Rawdah Branch Riyadh,"Address: Al Hasan Ibn Ali





City: RIYADH
Region: Central"
24.709921,46.789937,,Alrayan Branch,"Address: Al-Imam Ahmad Bin Hanbal





City: RIYADH
Region: Central"
24.709921,46.789937,,Alrayan Branch,"City: RIYADH
Region: Central"
21.566232,39.211737,,AlSafa Branch,"City: JEDDAH
Region: Western"
21.566232,39.211737,,Al-Safa Branch,"City: JEDDAH
Region: Western"
24.799117,46.644499,,AlSahafa Branch,"Address: Al Imam Saud Ibn Faysal





City: RIYADH
Region: Central"
24.799117,46.644499,,AlSahafa Branch,"City: Riyadh
Region: Central"
24.569981,46.691066,,AlShifa Branch,"City: RIYADH
Region: Central"
24.569981,46.691066,,Al-Shifa Branch  ,"Address: Dirab





City: RIYADH
Region: Central"
24.706899,46.689404,,AlSulaimaniyah Branch,"City: Riyadh
Region: Central"
21.548240,39.143688,,AlTahliyah Branch,"City: Jeddah
Region: Western"
21.548240,39.143688,,AlTahliyah Branch,"Address: Prince Mohammed Bin Abdulaziz





City: JEDDAH
Region: Western"
24.786752,46.682257,,Alwadi Branch,"City: RIYADH
Region: Central"
24.786752,46.682257,,Al-Wadi Branch,"Address: Abi Bakr As Siddiq 





City: RIYADH
Region: Central"
24.74756,46.71233,,Al-Waha Branch,"Address: King Abdullah Rd





City: RIYADH
Region: Central"
24.74756,46.71233,,Al-Waha Branch,"City: RIYADH
Region: Central"
24.803182,46.793633,,Alyarmouk Branch Exit#9,"City: RIYADH
Region: Central"
24.803182,46.793633,,Alyarmouk Branch Exit#9,"Address: Imam Abdullah Ibn Saud Ibn Abdulaziz





City: RIYADH
Region: Central"
26.329039,50.109330,,Aramco Branch,"Address: Boulevard





City: DHAHRAN
Region: Eastern"
24.678966,46.706674,,BSF Head Office,"City: RIYADH
Region: Central"
24.678966,46.706674,,BSF Head Office  ,"Address: Kind Saud Rd





City: RIYADH
Region: Central"
26.353735,43.954243,,Buraidah Branch,"City: BURAYDAH
Region: Central"
26.353735, 43.954243,,Buraidah Branch,"Address: Prince Faisl bin Bander bin Abdulaziz





City: BURAYDAH
Region: Central"
24.678279,46.702522,,Dabab Branch,"Address: Prince Abdulaziz Musaid Ibn Jalawi St





City: RIYADH
Region: Central"
24.678279,46.702522,,Dabab Branch,"City: RIYADH
Region: Central"
26.40355079,50.10284607,,Dammam AlAndalus Branch,"City: DAMMAM
Region: Eastern"
26.45433797,50.1183014,,Dammam Corniche Branch,"City: DAMMAM
Region: Eastern"
26.45433797,50.1183014,,Dammam Corniche Branch,"Address: Al Ashreah





City: DAMMAM
Region: Eastern"
26.43933542,50.10130362,,Dammam Main Branch,"Address: Prince mohammed bin fahad Road





City: DAMMAM
Region: Eastern"
26.43933542,50.10130362,,Dammam Main Branch,"City: DAMMAM
Region: Eastern"
26.459931,50.061017,,Dammam Mohamadia Branch,"City: DAMMAM
Region: Eastern"
26.459931,50.061017,,Dammam Mohamadia Branch,"Address: Prince Naif





City: DAMMAM
Region: Eastern"
28.420928,45.977883,,Hafer AlBatin Branch,"Address: King Abdullah rd





City: HAFIR ALBATIN
Region: Eastern"
28.412150,45.980488,,Hafer AlBatin Branch,"City: HAFIR ALBATIN
Region: Eastern"
27.501284,41.69904,,Hail Branch,"City: HAIL
Region: Central"
27.501284,41.69904,,Hail Branch,"Address: King Abdulaziz Rd





City: HAIL
Region: Central"
25.387927,49.577763,,Hofuf Main Branch,"Address: Prince talal bin abdulaziz rd





City: Alahsa
Region: Eastern"
25.387927,49.577763,,Hofuf Main Branch,City: ALAHSA
26.406239,43.921217,,Islamic Bank AlNhada Branch,"City: BURAYDAH
Region: Central"
26.406239,43.921217,,Islamic Bank AlNhada Branch,"Address: Umar Ibn Al Khatab Rd





City: BURAYDAH
Region: Central"
16.895181,42.563880,,Jazan Branch,"City: Jazan
Region: Western"
16.895181,42.563880,,Jazan Branch,"Address: Airport





City: JIZAN
Region: Western"
21.511091,39.176549,,Jeddah Main Branch,"Address: King Abdullah Rd,





City: JEDDAH
Region: Western"
21.511091,39.176549,,Jeddah Main Branch,"City: Jeddah
Region: Western"
26.991520,49.645039,,Jubail Branch,"City: JUBAIL
Region: Eastern"
26.991520,49.645039,,Jubail Main Branch,"Address: King Faisal (West) Rd





City: JUBAIL
Region: Eastern"
18.289665,42.730526,,Khamis Mushait Branch,"Address: Ad Dammam





City: KHAMIS MUSHAYT
Region: Western"
18.289665,42.730526,,Khamis Mushait Branch,"City: KHAMIS MUSHAYT
Region: Western"
24.637841,46.701403,,Khazzan Branch,"Address: Al Imam Faisal Ibn Turki Ibn Abdullah





City: RIYADH
Region: Central"
26.28225081,50.21255585,,Khobar Awal Branch - First St.,"Address: 1st





City: KHUBAR
Region: Eastern"
26.28225081,50.21255585,,Khobar Awal Branch - First St.,"City: KHUBAR
Region: Eastern"
26.30322628,50.21039609,,Khobar Main Branch (KAAS),"Address: AL Bandariyadh





City: KHUBAR
Region: Eastern"
24.693893,46.680672,,King Fahad Branch,"City: RIYADH
Region: Central"
24.693893,46.680672,,King Fahad Road Branch,"Address: King Fahad bin Abdulaziz





City: RIYADH
Region: Central"
24.47901,39.62389,,Madina Main Branch,"Address: Madina Main Branch





City: MADINAH
Region: Western"
24.47901,39.62389,,Madina Main Branch,"City: MADINAH
Region: Western"
"24.485058, ",39.574590,,Madinah Sultanh Branch,"Address: Abo Bakr Al Siddiq





City: MADINAH
Region: Western"
24.485058,39.574590,,Madinah Sultanh Branch,"City: MADINAH
Region: Western"
21.412105,39.865949,,Makkah Aziziah Branch,"Address: Al Masjid Al Haram





City: MAKKAH
Region: Western"
21.44005,39.78888,,Makkah Main Branch,"City: MAKKAH
Region: Western"
24.721319,46.647595,,Mohammadiya Riyadh Branch,"Address: King adullah





City: RIYADH
Region: Central"
17.529285,44.208223,,Najran Branch,"City: Najran
Region: Western"
17.529285,44.208223,,Najran Main Branch,"Address: King Abdul Aziz 





City: NAJRAN
Region: Western"
24.706899,46.689404,,New Sulaimaniyah Branch,"Address: Musa Ibn Nusair St





City: RIYADH
Region: Central"
25.442070,49.593086,,North Mobarraz Branch,"Address: Prince Tala





City: Alahsa
Region: Eastern"
25.442070,49.593086,,North Mobarraz Branch,"City: ALAHSA
Region: Eastern"
24.714027,46.675338,,Olaya Branch,"City: RIYADH
Region: Central"
24.714027,46.675338,,Olaya Branch,"Address: Olaya





City: RIYADH
Region: Central"
26.091530,43.990926,,Onaizah Branch,"Address: Ash Shabili





City: onaizah
Region: Central"
26.091530,43.990926,,Onaizah Branch,"City: UNAYZAH
Region: Central"
21.519646,39.154886,,Palestain Branch,"City: JEDDAH
Region: Western"
21.519646,39.154886,,Palestain Branch,"Address: Falastin





City: JEDDAH
Region: Western"
26.5602247,50.0365659,,Qatif Main Branch,"City: QATIF
Region: Eastern"
26.56106998,50.01309671,,Quds Branch,"City: QATIF
Region: Eastern"
24.688936,46.717652,,Riyadh Main Branch,"Address: King Abdulaziz Rd





City: RIYADH
Region: Central"
25.35801,49.54519,,Salmaniyah Branch,"Address: Al Riyadh road





City: Alahsa
Region: Eastern"
21.573578,39.140918,,Sari Branch,"Address: Sari





City: JEDDAH
Region: Western"
21.573578,39.140918,,Sari Branch,"City: JEDDAH
Region: Western"
21.44005,39.78888,,Siteen Makkah Branch,"Address: Al Hujoon St





City: MAKKAH
Region: Western"
26.487895,50.038607,,Siyhat Branch,"Address: Omar Bin Abdulaziz





City: SEYHAT
Region: Eastern"
26.487895,50.038607,,Siyhat Branch,"City: SEYHAT
Region: Eastern"
24.573053,46.610759,,Swaidi Branch,"Address: Western Ring





City: RIYADH
Region: Central"
24.573053,46.610759,,Swaidi Branch-Riyadh,"City: RIYADH
Region: Central"
24.783211,46.701588,,Taawon Branch Between Exit 6&7,"City: RIYADH
Region: Central"
24.783211,46.701588,,Taawon Branch Between Exit 6&7,"Address: Northern Ring Rd





City: RIYADH
Region: Central"
28.400583,36.573369,,Tabuk Branch,"Address: King Fahad bin Abdulaziz





City: TABUK
Region: Western"
28.417825,36.566081,,Tabuk Marouj Branch,"Address: King Abdullah Rd,





City: TABUK
Region: Western"
28.417825,36.566081,,Tabuk Marouj New Branch,"City: TABUK
Region: Western"
21.277156,40.411258,,Taif Branch,"City: TAIF
Region: Western"
21.277156,40.411258,,Taif Branch,"Address: Shubra





City: TAIF
Region: Western"
24.002996,38.198567,,Yanbu Branch,"Address: King Fahad bin Abdulaziz





City: Yanbu
Region: Western"
24.002996,38.198567,,Yanbu Branch,"City: YANBU
Region: Western"
