Title,Type,StreetAddress,City,Latitude,Longitude,ImageUrl,Information,BranchId,WorkingHours
Bur Dubai Branch,"46dcfbfe-458f-66de-b8c5-ff0000b6b24a,4adcfbfe-458f-66de-b8c5-ff0000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a,4ddcfbfe-458f-66de-b8c5-ff0000b6b24a,343b0fff-458f-66de-b8c5-ff1000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,9ea214ff-458f-66de-b8c5-ff1000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a",,Dubai,25.256897,55.297213,/img/locator/icon-logo-34x34.png,"Al Mankhool St. <br>Opp. Al Khaleej Center<br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span></li><li><span style=""font-size: 12px;"">Smart Cash Deposit Machine</span></li><li><span style=""font-size: 12px;"">Cheque Deposit Machine</span></li><li><span style=""font-size: 12px;"">Drive In</span></li><li><span style=""font-size: 12px;"">Bill Payment</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li></ul>",3,"08:00 AM to 03:30 PM (Monday - Thursday), 07:30 AM to 12:30 PM (Friday)"
Burj Al Arab,"4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.140965,55.185526,/img/locator/icon-logo-34x34.png,"Burj Al Arab Hotel,<br>Jumeirah Rd.<br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Withdrawal only</span></li><li><span style=""font-size: 12px;"">Cash Deposit&nbsp;not available&nbsp;</span></li><li><span style=""font-size: 12px;"">Bill Payment (By account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li></ul>",0,8am to 3pm (Sat-Thu)
Jebal Ali Branch,"9ba214ff-458f-66de-b8c5-ff1000b6b24a,9ea214ff-458f-66de-b8c5-ff1000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,343b0fff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,4adcfbfe-458f-66de-b8c5-ff0000b6b24a,cb4102ff-458f-66de-b8c5-ff0b00b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,47dcfbfe-458f-66de-b8c5-ff0000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.012003,55.0903089999999,/img/locator/icon-logo-34x34.png,Jebal Ali Free Zone<br>,5,"8am to 3:30pm (Mon-Thurs, Sat), 7:30am to 12:30pm (Fri)"
Ras Al Khaimah Branch,"49dcfbfe-458f-66de-b8c5-ff0000b6b24a,4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,343b0fff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,4adcfbfe-458f-66de-b8c5-ff0000b6b24a,cb4102ff-458f-66de-b8c5-ff0b00b6b24a,9ea214ff-458f-66de-b8c5-ff1000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a",,Ras Al Khaimah,25.776967,55.937317,/img/locator/icon-logo-34x34.png,"Al Quawasim Corniche Road<br>KAY Invest Building<br><p><span style=""font-size: 12.5px;""><strong>ATM Services:</strong>&nbsp;</span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal&nbsp;</span></li><li><span style=""font-size: 12px;"">Smart Cash Deposit</span></li><li><span style=""font-size: 12px;"">Cheque Deposit Machine</span></li><li><span style=""font-size: 12px;"">Bill Payment</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li></ul><br><br>",7,"08:00 AM to 03:30 PM (Monday - Thursday), 07:30 AM to 12:30 PM (Friday)"
Baniyas Branch,"4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,343b0fff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,4adcfbfe-458f-66de-b8c5-ff0000b6b24a,cb4102ff-458f-66de-b8c5-ff0b00b6b24a,9ea214ff-458f-66de-b8c5-ff1000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,47dcfbfe-458f-66de-b8c5-ff0000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.269663,55.3086539999999,/img/locator/icon-logo-34x34.png,"Baniyas Rd. Al Maktoum Hospital Rd.<br>near Baniyas Metro station<br><p><span style=""font-size: 12px;""><strong><span style=""color: rgb(255, 0, 0);"">[permanently closed]</span></strong></span></p>",9,8am to 3pm
Sheikh Zayed Branch,"49dcfbfe-458f-66de-b8c5-ff0000b6b24a,4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,343b0fff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,4adcfbfe-458f-66de-b8c5-ff0000b6b24a,cb4102ff-458f-66de-b8c5-ff0b00b6b24a,9ea214ff-458f-66de-b8c5-ff1000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,47dcfbfe-458f-66de-b8c5-ff0000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.209193,55.274663,/img/locator/icon-logo-34x34.png,Sheikh Zayed Rd. 88<br><p><strong>ATM Services:</strong></p><ul><li>Cash Withdrawal</li><li>Cash Deposit Machine</li><li>Bill Payment</li><li>Fund Transfer (By account)</li></ul><br>,11,"08:00 AM to 03:30 PM (Monday - Thursday), 07:30 AM to 12:30 PM (Friday)"
Al Qusais Branch,"343b0fff-458f-66de-b8c5-ff1000b6b24a,4adcfbfe-458f-66de-b8c5-ff0000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,47dcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.272721,55.371762,/img/locator/icon-logo-34x34.png,"Al Qusais 1, Opp. Union Co-operative Society<br><p><strong>ATM Services:</strong></p><ul><li>Cash Withdrawal</li><li>Smart Cash Deposit</li><li>Cheque Deposit Machine</li><li>Bill Payment</li><li>Fund Transfer (By account)</li></ul><br>",12,"08:00 AM to 03:30 PM (Monday - Thursday), 07:30 AM to 12:30 PM (Friday)"
Ajman Branch,"4ddcfbfe-458f-66de-b8c5-ff0000b6b24a,49dcfbfe-458f-66de-b8c5-ff0000b6b24a,4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,cb4102ff-458f-66de-b8c5-ff0b00b6b24a,45dcfbfe-458f-66de-b8c5-ff0000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,47dcfbfe-458f-66de-b8c5-ff0000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a",,Ajman,25.412646,55.444198,/img/locator/icon-logo-34x34.png,"Sheikh Rashid Bin Humeed Street,<br>Near&nbsp; Ajman Museum, <br>Opposite Ajman Gold Souq<br><p><span style=""font-size: 12.5px;""><strong>ATM Services:</strong>&nbsp;</span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal&nbsp;</span></li><li><span style=""font-size: 12px;"">Smart Cash Deposit</span></li><li><span style=""font-size: 12px;"">Cash Deposit Machine</span></li><li><span style=""font-size: 12px;"">Drive thru ATM</span></li><li><span style=""font-size: 12px;"">Bill Payment (By account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li></ul><br><br>",13,"08:00 AM to 03:30 PM (Monday - Thursday), 07:30 AM to 12:30 PM (Friday)"
 Al Ain Mall Branch,"9936fcfe-458f-66de-b8c5-ff0000b6b24a,49dcfbfe-458f-66de-b8c5-ff0000b6b24a,4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,343b0fff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,4adcfbfe-458f-66de-b8c5-ff0000b6b24a,cb4102ff-458f-66de-b8c5-ff0b00b6b24a,9ea214ff-458f-66de-b8c5-ff1000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,47dcfbfe-458f-66de-b8c5-ff0000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a",,Al Ain,24.221546,55.7822,/img/locator/icon-logo-34x34.png,"Othman Bin Affan street<br><span style=""color: rgb(255, 0, 0);"">CLOSE</span><br><p><span style=""font-size: 12.5px;""><strong>ATM Services:</strong>&nbsp;</span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal&nbsp;</span></li><li><span style=""font-size: 12px;"">Smart Cash Deposit</span></li><li><span style=""font-size: 12px;"">Cheque Deposit Machine</span></li><li><span style=""font-size: 12px;"">Bill Payment (by Account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (by Account)</span></li></ul><br><br>",14,"10:00 AM to 05:30 PM (Mon-Thurs, Sat), 10:00 AM - 12:00 PM / 02:00 PM - 05:00 PM (Fri)"
Main Branch,"49dcfbfe-458f-66de-b8c5-ff0000b6b24a,47dcfbfe-458f-66de-b8c5-ff0000b6b24a,4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,343b0fff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,4adcfbfe-458f-66de-b8c5-ff0000b6b24a,cb4102ff-458f-66de-b8c5-ff0b00b6b24a,45dcfbfe-458f-66de-b8c5-ff0000b6b24a,9ea214ff-458f-66de-b8c5-ff1000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.25506,55.331322,/img/locator/icon-logo-34x34.png,"Al Ittihad St. Port Saeed<br>Opp. Deira City Center<br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span></li><li><span style=""font-size: 12px;"">Smart Cash Deposit</span></li><li><span style=""font-size: 12px;"">Cheque Deposit Machine</span></li><li><span style=""font-size: 12px;"">Bill Payment</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li><li><span style=""font-size: 12px;"">E-Wallet Top Up&nbsp;</span></li></ul>",17,"08:00 AM to 03:30 PM (Monday - Thursday), 07:30 AM to 12:30 PM (Friday)"
Fujairah Branch,"4bdcfbfe-458f-66de-b8c5-ff0000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,4adcfbfe-458f-66de-b8c5-ff0000b6b24a,343b0fff-458f-66de-b8c5-ff1000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,9ea214ff-458f-66de-b8c5-ff1000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,cb4102ff-458f-66de-b8c5-ff0b00b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a",,Fujairah,25.1222308,56.35567,/img/locator/icon-logo-34x34.png,"Al Fujairah Corniche, <br>Al Gurfa Road,<br>Near Al Mibkhar Roundabout<br><p><strong>ATM Services:</strong>&nbsp;</p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal&nbsp;</span></li><li><span style=""font-size: 12px;"">Smart Cash Deposit Machine</span></li><li><span style=""font-size: 12px;"">Cheque Deposit Machine</span></li><li><span style=""font-size: 12px;"">Bill Payment (by Account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (by Account)</span></li></ul><br>",21,"08:00 AM to 03:30 PM (Monday - Thursday), 07:30 AM to 12:30 PM (Friday)"
Al Quoz Branch,"45dcfbfe-458f-66de-b8c5-ff0000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,4adcfbfe-458f-66de-b8c5-ff0000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,343b0fff-458f-66de-b8c5-ff1000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,9ea214ff-458f-66de-b8c5-ff1000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a",,Dubai,25.1303028,55.213074,/img/locator/icon-logo-34x34.png,"Near First Gulf Bank<br>Metro station 733<br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span></li><li><span style=""font-size: 12px;"">Smart Cash Deposit</span></li><li><span style=""font-size: 12px;"">Cheque Deposit Machine</span></li><li><span style=""font-size: 12px;"">Bill Payment</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li></ul>",26,"9am to 14:00pm (Mon-Thurs, Sat), 9am to 12:30pm (Fri)"
Dubai Immigration Branch,"45dcfbfe-458f-66de-b8c5-ff0000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,343b0fff-458f-66de-b8c5-ff1000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,9ea214ff-458f-66de-b8c5-ff1000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a",,Dubai,25.234339,55.291561,/img/locator/icon-logo-34x34.png,"Sheikh Khalifa Bin Zayed Rd.<br>Inside Dubai Immigration Compoud<br>near to Al Jafiliya Metro station<br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span></li><li><span style=""font-size: 12px;"">Cash Deposit Machine</span></li><li><span style=""font-size: 12px;"">Bill Payment (By Account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By Account)</span></li></ul>",72,"7:30am to 3:30pm (Mon-Thurs) , 7:30am - 12:00pm (Fri) , Closed ( Sat, Sun)"
Jumeirah Branch,"45dcfbfe-458f-66de-b8c5-ff0000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,4adcfbfe-458f-66de-b8c5-ff0000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a,4ddcfbfe-458f-66de-b8c5-ff0000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,343b0fff-458f-66de-b8c5-ff1000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,9ea214ff-458f-66de-b8c5-ff1000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a",,Dubai,25.228775,55.26159,/img/locator/icon-logo-34x34.png,"Jumeirah Rd.<br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span></li><li>Cash Deposit not available&nbsp;<br></li><li><span style=""font-size: 12px;"">Drive In&nbsp;</span><br></li><li><span style=""font-size: 12px;"">Cheque Deposit Machine</span></li><li><span style=""font-size: 12px;"">Bill Payment</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li></ul>",4,"08:00 AM to 03:30 PM (Monday - Thursday), 07:30 AM to 12:30 PM (Friday)"
Abraj Shopping Center,"4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.269565,55.30332,/img/locator/icon-logo-34x34.png,"Al Sabkha St. <br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span><br></li><li><span style=""font-size: 12px;"">Bill Payment (By account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li><li><span style=""font-size: 12px;"">Cash Deposit (Not available)</span><br></li></ul>",0,8am to 3pm (Sat-Thu)
Dubai Chamber,"4adcfbfe-458f-66de-b8c5-ff0000b6b24a,343b0fff-458f-66de-b8c5-ff1000b6b24a,4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,9ea214ff-458f-66de-b8c5-ff1000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.260162,55.3153649999999,/img/locator/icon-logo-34x34.png,JAFZA<br>,0,8am to 3pm (Sat-Thu)
Emarat Petrol Station Al Garhoud,"4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.225293,55.322857,/img/locator/icon-logo-34x34.png,"Al Garhoud Rd.<br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span><br></li><li><span style=""font-size: 12px;"">Bill Payment (By account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li><li><span style=""font-size: 12px;"">Cash Deposit not available&nbsp;</span></li></ul>",0,8am to 3pm (Sat-Thu)
Emarat Petrol Station Safa Park,"4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.204063,55.252025,/img/locator/icon-logo-34x34.png,"Safa Park Area, Jumeirah<br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span><br></li><li><span style=""font-size: 12px;"">Bill Payment (By account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li><li><span style=""font-size: 12px;"">Cash Deposit not available&nbsp;</span></li></ul>",0,8am to 3pm (Sat-Thu)
Jebel Ali Branch,"4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.00851,55.0854919999999,/img/locator/icon-logo-34x34.png,Jebel Ali<br><br><p><strong>ATM Services:</strong></p><ul><li>Cash Withdrawal</li><li>Smart Cash Deposit</li><li>Cheque Deposit Machine</li><li>Bill Payment</li><li>Fund Transfer (By account)</li><li>E-Wallet Top Up&nbsp;</li></ul>,0,"08:00 AM to 03:30 PM (Monday - Thursday), 07:30 AM to 12:30 PM (Friday)"
Union Cooperative Jumeriah,"67a214ff-458f-66de-b8c5-ff1000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.18745,55.239225,/img/locator/icon-logo-34x34.png,"Jumeriah, Dubai<br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span><br></li><li><span style=""font-size: 12px;"">Bill Payment (By account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li><li><span style=""font-size: 12px;"">Cash Deposit not available&nbsp;</span></li></ul>",0,8am to 3pm (Sat-Thu)
International Modern Hospital,"4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.248626,55.283241,/img/locator/icon-logo-34x34.png,"Port Rashid Rd. <br>Al Mankhool Area<br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span><br></li><li><span style=""font-size: 12px;"">Bill Payment (By account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li><li><span style=""font-size: 12px;"">Cash Deposit not available&nbsp;</span></li></ul>",0,8am to 3pm (Sat-Thu)
Al Mowakeb School Garhoud,"67a214ff-458f-66de-b8c5-ff1000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.235841,55.358018,/img/locator/icon-logo-34x34.png,"Garhoud<br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span><br></li><li><span style=""font-size: 12px;"">Bill Payment (By account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li><li><span style=""font-size: 12px;"">Cash Deposit not available&nbsp;</span></li></ul>",0,8am to 3pm (Sat-Thu)
Al Mowakeb School Al Barsha,"9ba214ff-458f-66de-b8c5-ff1000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.104166,55.201836,/img/locator/icon-logo-34x34.png,"Al Barsha<br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span><br></li><li><span style=""font-size: 12px;"">Bill Payment (By account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li><li><span style=""font-size: 12px;"">Cash Deposit not available&nbsp;</span></li></ul>",0,8am to 3pm (Sat-Thu)
