atmLocations/atmLocationId,atmLocations/name,atmLocations/site,atmLocations/coordinate,atmLocations/emirate,atmLocations/location,atmLocations/status,atmLocations/atmType
0e857ed2-1d22-ec11-93a7-8086f2aa5252,Abu Dhabi Airport road ATM 1,Public,"24.471425,54.368994",Abu Dhabi,"In Al Dhabi Tower, opposite to the Al Wahda Mall, Airport Road.",,RAKBANK
0d857ed2-1d22-ec11-93a7-8086f2aa5252,Abu Dhabi Airport road ATM 2,Public,"24.471425,54.368993",Abu Dhabi,"In Al Dhabi Tower, opposite to the Al Wahda Mall, Airport Road.",,RAKBANK
1b857ed2-1d22-ec11-93a7-8086f2aa5252,Abu Dhabi Mall,Public,"24.495892,54.383107",Abu Dhabi,ATM located next to the Cineplex at the second floor.,,RAKBANK
1a857ed2-1d22-ec11-93a7-8086f2aa5252,Abu-Dhabi Central Souk,Public,"24.489511,54.355996",Abu Dhabi,ATM located next to the KM  Daily outlet at the ground floor. ,,RAKBANK
2d30cce2-93aa-463d-aac3-51b0c90d0999,Accuro ACCURO SPECIALIST SUPPORT SERVICES Jabel Ali,Not open to public,"25.007618,55.1318216",Dubai,Jabel Ali Ind. Area 1 Dubai,,C3Pay
1c857ed2-1d22-ec11-93a7-8086f2aa5252,ADNOC Petrol Station: Najda Street,Public,"24.489463,54.371158",Abu Dhabi,"The ATM  located inside the petrol station, Fatima Bint Mubarak street, opposite to the Al Raha hospital.",,RAKBANK
21857ed2-1d22-ec11-93a7-8086f2aa5252,Ajman City Centre,Public,"25.399387, 55.478674",Ajman,ATM located at the ATM lobby of the north entrance ,,RAKBANK
d292ce2a-baf7-4c4e-a278-66b6f0418b89,Al Ahalia Exchange Fujerah ,Public,"25.1249363,56.3452778",Fujairah,near Emirates Trade Center,,C3Pay
3618ebfb-6ddf-4386-8e07-0de7b7a26a8a,Al Ahalia Exchange IND 3 Al Qouz,Public,"25.156531,55.2456859",Dubai,Al Qouz Ind. Area 3 Dubai,,C3Pay
c6eba420-b01c-4a09-8769-0fd9c1ab8199,Al Ahalia Exchange Ras Al Khaimah,Public,"25.7951358,55.9763972",Ras Al Khaimah,near by Nesto,,C3Pay
23857ed2-1d22-ec11-93a7-8086f2aa5252,Al Ain City Center - Mowaji area,Public,"24.223822,55.728093",Al Ain,"ATM located next to the entrance of the supermarket, near City Season hotel, Sh Khalifa Bin Zayed St.",,RAKBANK
37857ed2-1d22-ec11-93a7-8086f2aa5252,Al Ansari Exchange,Public,"25.262671, 55.28798",Dubai,"ATM located next to the entrance of the exchange house, opposite to Al Ghubaiba Bus Station",,RAKBANK
b65de639-c46b-465e-b992-3b857e7d6165,Al Barari Forest Baynunah AD,Not open to public,"24.0925643,52.9546203",Abu Dhabi,Baynunah Abu Dhabi,,C3Pay
c53ec436-d84f-4e78-a59c-a1ca78eb9bc2,Al Barari Forest Remah Al Ain,Not open to public,"24.1892778,55.3355399",Al Ain,Remah Al Ain,,C3Pay
70857ed2-1d22-ec11-93a7-8086f2aa5252,Al Dhait Drive Thru,Public,"25.749938, 55.907466",RAK,Drive thru ATM located next to Al Dhait RAKBANK branch.,,RAKBANK
7c857ed2-1d22-ec11-93a7-8086f2aa5252,Al Falah Plaza,Public,"25.332339,55.399016",Sharjah,"ATM located at ground level inside the hypermarket, next to the UAE Exchange outlet.",,RAKBANK
36857ed2-1d22-ec11-93a7-8086f2aa5252,Al Fardan Exchange,Public,"25.259426,55.293299",Dubai,ATM located next to the entrance of the Al Fardan Exchange which is near to the Ascot hotel.,,RAKBANK
74857ed2-1d22-ec11-93a7-8086f2aa5252,"Al Fardan Exchange, Clock round about",Public,"25.361345,55.396666",Sharjah,"ATM located next to entrance of the exchange house, overlooking the Clock Tower round about.",,RAKBANK
67857ed2-1d22-ec11-93a7-8086f2aa5252,Al Ghail Shopping Centre,Public,"25.409821, 55.992746",RAK,ATM located next to the main entrance of shopping center,,RAKBANK
53857ed2-1d22-ec11-93a7-8086f2aa5252,Al Ghurair Centre,Public,"25.267208,55.31716",Dubai,"New Mall Extension, Ground Floor, Next to the Damas & Omega Showroom, Rigga Street Entrance",,RAKBANK
6afcd1fb-01f7-46af-8eb7-60f9a6701370,Al Ghurair Exchange Al Qouz,Public,"25.1562177,55.2489745",Dubai,Industrial Area 4 DXB,,C3Pay
fa9dd106-77c3-4b6e-83e4-32c466f7252b,Al Ghurair International Exchange Al Jurf 1 AJM,Public,"25.4332473,55.5283692",Ajman,Al Jurf Industrial Area 2 Ajman,,C3Pay
f8152b81-345e-487e-b997-c0f297c4e88d,Al Ghurair International Exchange DIC,Public,"24.8292716,55.0758767",Dubai,Dubai Industrial City 2,,C3Pay
ac04cfab-5f96-4821-9731-13ab7d04fa37,Al Ghurair International Exchange Hor Al Anz,Public,"25.2734609,55.3333605",Dubai,"Hor Al Anz, Dubai",,C3Pay
6c857ed2-1d22-ec11-93a7-8086f2aa5252,Al Hamra Mall,Public,"25.682228, 55.780418",RAK,"ATM located next to the Spinney's outlet, ground floor.",,RAKBANK
ae493ee0-8ee4-410c-9a5b-fa877c448c20,Al Jaber Exchange Mafreq Abu Dhabi,Public,"24.2829494,54.6073959",Abu Dhabi,AJAC Camp Baniyas,,C3Pay
52857ed2-1d22-ec11-93a7-8086f2aa5252,Al Khail Mall,Public,"25.149244, 55.246111",Dubai,"ATM located next to the gate 2 entrance, near emirates International exchange ",,RAKBANK
6f857ed2-1d22-ec11-93a7-8086f2aa5252,Al Madinah Drive Thru,Public,"25.790439,55.945596",RAK,Drive thru ATM located next to Al Madinah RAKBANK branch.,,RAKBANK
5c857ed2-1d22-ec11-93a7-8086f2aa5252,Al Marjan Island,Public,"25.660876, 55.750406",RAK,ATM located in the visitors car park area of the Marjan Island Office building,,RAKBANK
2aa1af43-be0b-4068-9983-e4505d8234ff,Al Naboodah Construction Group ATM1 - Wall Street EH,Not open to public,"25.1597073,55.4878521",Dubai,Al Ruwayyah DXB,,C3Pay
1cc3eb66-a5e8-4f5c-a3f6-91dad1198470,Al Naboodah Construction Group ATM2 - Wall Street EH,Not open to public,"25.1597073,55.4878521",Dubai,Al Ruwayyah DXB,,C3Pay
6b857ed2-1d22-ec11-93a7-8086f2aa5252,Al Naeem City Center,Public,"25.748959, 55.924089",RAK,"ATM located adjacent to the side entrance of the mall, near to McDonalds",,RAKBANK
6a857ed2-1d22-ec11-93a7-8086f2aa5252,Al Naeem Mall,Public,"25.792132, 55.967134",RAK,"ATM located under the escalator, next to Tim Hortons at the Ground floor",,RAKBANK
51857ed2-1d22-ec11-93a7-8086f2aa5252,Al Quoz Mall - Offsite,Public,"25.122433, 55.222651",Dubai,"ATM located inside the mall, which is near to the Al Qouz branch, Al Qouz Industrial Area.",,RAKBANK
1aaf114b-093b-465c-95fb-a9ba8eb949e5,Al Razouki Exchange Ajman,Public,"25.4109204,55.4433716",Ajman,Ajman,,C3Pay
277e8685-6f39-40c5-8aa9-c0a7ecac245c,Al Razouki Exchange Al Jurf 2 Ajman,Public,"25.4370634,55.5566997",Ajman,Al Jurf Industrial Area 2 Ajman,,C3Pay
6954d79f-41bc-48b4-bd17-614256db0ce2,Al Razouki Exchange Ind  Ajman,Public,"25.3707306,55.4862813",Ajman,Sanaiya Police Station Ajman,,C3Pay
45ec8111-0f84-431c-ba3f-35558d0b13fb,Al Razouki Exchange Jurf 1 Ajman ,Public,"25.4336809,55.5291657",Ajman,Jurf Industrial area Ajman,,C3Pay
96d209b4-b161-418f-b044-281c6cf1a60b,Al Razouki Exchange Muwallah N.P Sharjah,Public,"25.2940131,55.4404301",Sharjah,Opposite to National Food Company,,C3Pay
7b857ed2-1d22-ec11-93a7-8086f2aa5252,Al Talal Supermarket,Public,"25.358134, 55.393623",Sharjah,ATM located next to the main entrance of the supermarket,,RAKBANK
19857ed2-1d22-ec11-93a7-8086f2aa5252,Al Wahda Mall,Public,"24.470278, 54.372778",Abu Dhabi,ATM located next to the food court at the second floor car park entrance.,,RAKBANK
81857ed2-1d22-ec11-93a7-8086f2aa5252,American University,Public,"25.787688, 55.992673",RAK,ATM located at the Gate 2 entrance,,RAKBANK
46857ed2-1d22-ec11-93a7-8086f2aa5252,Ansar Gallery,Public,"25.269829, 55.320985",Dubai,ATM located at the left side of the main entrance ,,RAKBANK
e3dd3630-70be-4d44-abd8-682bb48ffe80,Arabian Construction Company ACC3 Rimah ALN,Not open to public,"24.1610264,55.4748372",Al Ain,Sayh Gharba Rimah Al Ain,,C3Pay
2f857ed2-1d22-ec11-93a7-8086f2aa5252,Arabian Ranches,Public,"25.057106,55.270300",Dubai,"ATM located inside ATM lobby of the Arabian Ranches town center, Emirates Road.",,RAKBANK
f61d17be-0882-4a88-9d2b-f3366adbbed6,Belhasa Exchange Al Quasis DXB,Public,"25.2685995,55.3758493",Dubai,Belhasha Exchange Al Quasis DXB,,C3Pay
4f263810-d867-417d-8b1a-85dcf9c291ae,Belhasa Exchange Rolla Sharjah,Public,"25.3555147,55.387782",Sharjah,near by Rolla Square Park SHJ,,C3Pay
ceced817-0b0e-4d6b-998b-044e921fddd9,Belhasha Exchange Muweilah SHJ,Public,"25.2933592,55.4408028",Sharjah,Muweilah Sharjah,,C3Pay
eaa46e98-594d-4efa-8be2-efb38d61b930,Belhasha Exchange NKL RAK,Public,"25.7954283,55.9747255",Ras Al Khaimah,Nakheel RAK,,C3Pay
921d79ac-10f3-466e-9baa-e9323d04331f,Berkeley Service LLC,Not open to public,"25.1381081,55.2573316",Dubai,Al Qouz Industrial Area 4,,C3Pay
582ffbfa-780e-4353-8ac6-b1ef269cf686,BESIX Construct LLC Ajman,Not open to public,"25.4098892,55.4566774",Ajman,Ajman Marina Yard Ajman,,C3Pay
d6a73681-205a-4688-b17a-ec2d2a0af8ca,BESIX Construct LLC Al Qouz,Not open to public,"25.1283267,55.2208686",Dubai,Al Qouz Industrial Area 3 DXB,,C3Pay
880abbea-1218-4bce-8199-2e7ae5a9bae0,BESIX Construct LLC Jabel Ali,Not open to public,"24.9803832,55.137711",Dubai,Jabal Ali Industrial,,C3Pay
ac31a3a5-e69c-4a73-90db-757d2cb8f566,BESIX Construct LLC Jabel Ali,Not open to public,"24.9803952,55.1395222",Dubai,Jabal Ali Industrial,,C3Pay
5d707542-cbdd-4960-b31b-d6f0b9155b6d,BESIX Construct LLC Mafraq,Not open to public,"24.2588056,54.6241446",Abu Dhabi,"Mafraq , Workers Residential City (Lobotel) ",,C3Pay
4fbce68e-899e-4d91-b568-92462ae9f02a,"BIC Contracting LLC, ATM 1 Al Qouz",Not open to public,"25.1344251,55.2389941",Dubai,Al Qouz Ind. Area 3 Dubai,,C3Pay
91b3768f-f593-4ed0-bffb-e347683d3b49,"BIC Contracting LLC, ATM 2 Al Qouz",Not open to public,"25.1344251,55.2389941",Dubai,Al Qouz Ind. Area 3 Dubai,,C3Pay
2a857ed2-1d22-ec11-93a7-8086f2aa5252,Business Village,Public,"25.257068,55.326344",Dubai,"ATM located at the food court building in Business Village, near Clock Tower R/ A, Maktoum St.",,RAKBANK
45857ed2-1d22-ec11-93a7-8086f2aa5252,Choithram S/M - DSO,Public,"25.116769,55.38958",Dubai,"ATM located next to the entrance of the supermarket, near GEMS school, DSO.",,RAKBANK
20857ed2-1d22-ec11-93a7-8086f2aa5252,Choithram Supermarket,Public,"25.409584,55.443441",Ajman,"ATM located next to the entrance of the store, opposite  Day to Day center, Sh Rashid Bin Hamid St.",,RAKBANK
44857ed2-1d22-ec11-93a7-8086f2aa5252,Citimart Supermarket,Public,"25.256845,55.291502",Dubai,"ATM located next to the entrance of the supermarket, Rolla Street.",,RAKBANK
50857ed2-1d22-ec11-93a7-8086f2aa5252,"City Center, Deira",Public,"25.252483,55.331649",Dubai,ATM located at the ground floor near to the P2 parking entrance adjacent to boots pharmacy.,,RAKBANK
4f857ed2-1d22-ec11-93a7-8086f2aa5252,"City Center, Meisam",Public,"25.040132, 55.198110",Dubai,"ATM located at the Entrance 2 of the Mall , near to Paul Café",,RAKBANK
38b9b708-3c47-47f2-85dc-99ccbe2e231b,City Exchange Al Nahda Dubai,Public,"25.2968466,55.3831503",Dubai,Al Nahda 2 Dubai,,C3Pay
80aa9134-23c5-4dab-bb94-81a14394e3f9,City Exchange Bur Dubai,Public,"25.2620785,55.290917",Dubai,near by Raffa police Station,,C3Pay
d07148ba-26a7-4bd6-af8c-7c94fd35aed4,City Exchange Ind Ajman,Public,"25.384215,55.4670082",Ajman,Industrial area 2 Ajman,,C3Pay
d472860e-ac57-4165-9999-0697d2608ccf,City Exchange Ind Sharjah,Public,"25.307081,55.4189598",Sharjah,near by GECO R/D,,C3Pay
4a924411-812c-4eca-9b47-b9de0b923603,City Exchange Jabel Ali,Public,"25.0067207,55.1061218",Dubai,Jabel Ali Ind. Area 1 Dubai,,C3Pay
24ec5958-0a21-4bfd-aaa3-a39e5b3c28cf,City Exchange Main City Ajman,Public,"25.410195,55.444487",Ajman,Day to Day Bulding Ajman,,C3Pay
c2d7fbe5-6fe1-4b94-ad02-21635a041dd2,City Exchange Mussaffah AD,Public,"24.3365394,54.5298985",Abu Dhabi,Shabia 10 Mussaffah Abu Dhabi,,C3Pay
8e4f776a-4edc-45ff-aeda-4e666aa0c880,City Exchange Nakheel RAK,Public,"25.7944844,55.9730802   ",Ras Al Khaimah,Nakheel RAK,,C3Pay
9f51de62-e75d-41d7-95ed-10c322eae5cf,City Exchange Rolla Sharjah,Public,"25.3559115,55.3886799",Sharjah,Rolla Sharjah,,C3Pay
29857ed2-1d22-ec11-93a7-8086f2aa5252,Coca Cola Arena I,Public,"25.203638, 55.265758",Dubai,ATM located at the dedicated ATM lobby of the Arena ( 2 ATM's in G level & 1 ATM on the 1st level).,,RAKBANK
83857ed2-1d22-ec11-93a7-8086f2aa5252,Coca Cola Arena II,Public,"25.203638, 55.265757",Dubai,ATM located at the dedicated ATM lobby of the Arena ( 2 ATM's in G level & 1 ATM on the 1st level).,,RAKBANK
28857ed2-1d22-ec11-93a7-8086f2aa5252,Coca Cola Arena III,Public,"25.203638, 55.265757",Dubai,ATM located at the dedicated ATM lobby of the Arena ( 2 ATM's in G level & 1 ATM on the 1st level).,,RAKBANK
e2101b76-83fc-4e8e-b1b3-2f9cd90d9d53,Combined Group Contracting Co AD,Not open to public,"24.065588,53.4339228",Abu Dhabi,"Mirfa, Abu Dhabi",,C3Pay
0fadd035-4264-416f-a60e-250a93e8615f,Combined Group Contracting Co Al Ain,Not open to public,"24.0476503,55.6205341",Al Ain,Industrial City Al Ain,,C3Pay
d5d1c4fd-eab9-4b0c-a82d-8f7814910265,Combined Group Contracting Co Ras Ghurab Island Abu Dhabi ,Not open to public,"24.5466389,54.453228",Abu Dhabi,Ras Ghurab / Al Ahalia Island Abu Dhabi,,C3Pay
a31843e3-cf73-4810-bdb6-f7e20de89c75,Darwish Engineering Emirastes - Wall Street EH,Not open to public,"25.3880387,55.4704949",Ajman,Ajman Industrial Area 1 Ajman,,C3Pay
ecbf4340-a6a4-4c8c-a880-8c0cd541ab5b,"DBB Contracting LLC, Ducto Complex DXB",Not open to public,"24.9945549,55.1058605",Dubai,Jabel Ali Ind. Area 1 Dubai,,C3Pay
a452656f-b7bc-49e1-b8dc-fa632831580f,"DBB Contracting LLC, Ducto Complex DXB",Not open to public,"24.9945549,55.1058605",Dubai,Jabel Ali Ind. Area 1 Dubai,,C3Pay
b136e4c1-a166-47a2-afe2-123c01b514b6,DCC {Dubai Contracting Company PSC Jabel Ali DXB 1,Not open to public,"25.0064627,55.1350702",Dubai,Jabel Ali Ind. Area 1 Dubai,,C3Pay
18857ed2-1d22-ec11-93a7-8086f2aa5252,Deer Fields,Public,"24.523572, 54.670907",Abu Dhabi,"ATM located in dedicated ATM lobby on the ground floor, opposite to Chilis.",,RAKBANK
e755e9a8-e8b7-49b5-9272-607617f62f93,Delma Exchange - Securiguard MafraqAbu Dhabi,Not open to public,"24.2763627,54.6004242",Abu Dhabi,Securiguard Accommodation Mafraq AD,,C3Pay
8f7c2c4e-02c3-4ecf-ba1f-9250d69983ed,Deniba Int'l Exchange NKL RAK,Public,"25.7922961,55.9714286",Ras Al Khaimah,Nakheel RAK,,C3Pay
ebca92aa-1c73-44c6-b3de-5636c9a7ffa3,Depa Interiors LLC DXB 1,Not open to public,"24.9767402,55.1579919",Dubai,Industrial 1 Area DIP,,C3Pay
4e857ed2-1d22-ec11-93a7-8086f2aa5252,Dragon Mart Offsite,Public,"25.175165,55.412346",Dubai,"ATM located inside the mart, next to the Al Aqsour travels, EAI02 section, Dragon Mart",,RAKBANK
24857ed2-1d22-ec11-93a7-8086f2aa5252,"Dubai Airport T-1, Concourse D",Public,"25.262655, 55.342570",Dubai,"ATM located next to the Dubai Duty Free Exchange, Departure area.",,RAKBANK
4d857ed2-1d22-ec11-93a7-8086f2aa5252,Dubai Mall,Public,"25.195695,55.280211",Dubai,"ATM located at level 2 inside the mall, near Kidzania outlet, Cinema Parking",,RAKBANK
992ad1da-d897-4a60-8833-871c9ed01560,Dulsco LLC Al Hayl FUJ 4,Not open to public,"25.0964734,56.2705904",Fujairah,Al Hayl Industrial Area FUJ,,C3Pay
736755b6-f3d6-4fc1-ac8b-ff8ac1a3e0d8,Dulsco LLC Al Qouz DXB 1,Not open to public,"25.1234638,55.2323265",Dubai,Industrial Area 4 Al Qouz,,C3Pay
8f1ee98b-878c-4201-847d-ec3f131904c1,Dulsco LLC Dubai Investment Park DXB 2,Not open to public,"24.9841652,55.1963156",Dubai,Industrial 1 Area DIP,,C3Pay
a4aaddbd-75e1-450f-84bd-256e2d3bcc7c,Dulsco LLC Muhaisnah {Sonapur} DXB 3,Not open to public,"25.2625525,55.4240761",Dubai,Muhaisnah 2 {Sonapur},,C3Pay
b459a7f8-0b39-4ae3-9092-7afa83108074,ECC Al Qouz DXB,Not open to public,"25.1221942,55.2450414",Dubai,ECC Al Qouz,,C3Pay
1d474f90-0611-4372-9119-8489a3625b21,ECC Jabel Ali DXB,Not open to public,"25.0068337,55.1021418",Dubai,ECC Jabel Ali,,C3Pay
4be1eb76-855b-4d33-8bb3-60dda25d0b20,ECC Sharjah ,Not open to public,"25.2980628,55.4107069",Sharjah,ECC Sharjah,,C3Pay
35857ed2-1d22-ec11-93a7-8086f2aa5252,Emirates India International Exchange,Public,"25.234080, 55.278045",Dubai,"ATM located at the entrance of the exchange house, near to satwa roundabout",,RAKBANK
34857ed2-1d22-ec11-93a7-8086f2aa5252,Emirates India International Exchange - Karama,Public,"25.245211, 55.300330",Dubai,ATM located next to the main entrance of the exchange house,,RAKBANK
4c6df8f5-3edf-487a-a72f-09258e5008ca,Emirates India International Exchange J Ali,Public,"25.009844,55.1102191",Dubai,Jabel Ali Ind. Area 1 Dubai,,C3Pay
a8b5065d-4f21-4959-b113-4e89be94aff5,Emirates India International Exchange Khorfakkan,Public,"25.3483341,56.346607",Sharjah,Khorfakkan Sharjah,,C3Pay
3c679f46-4c4f-4b65-b69b-c7f0c8a3e4a9,Emirates India Int'l Echange Sajaa Sharjah,Public,"25.3017758,55.6303993",Sharjah,Industrial Area Sajaa SHJ,,C3Pay
85857ed2-1d22-ec11-93a7-8086f2aa5252,Empire Heights Business Bay,Public,"25.192316, 55.285078",Dubai,"ATM located on Ground Floor Empire Heights Podium Building, Business Bay",,RAKBANK
27857ed2-1d22-ec11-93a7-8086f2aa5252,Etisalat Hello Business Hub,Public,"25.072602, 55.145266",Dubai,"ATM located inside Etisalat Hello Business Hub, 2nd floor, One JLT Tower",,RAKBANK
43857ed2-1d22-ec11-93a7-8086f2aa5252,Express KP Mart - Bur Dubai,Public,"25.261146, 55.299731",Dubai,"ATM located at the entrance of the supermarket, on musalla road",,RAKBANK
12857ed2-1d22-ec11-93a7-8086f2aa5252,"Fairoz Al Madeena Hypermarket, Mussafah",Public,"24.350557,54.486823",Abu Dhabi,"ATM located next to the main entrance of the supermarket, near Al Ghazzal transport.",,RAKBANK
57857ed2-1d22-ec11-93a7-8086f2aa5252,Families General Trading,Public,"25.274304, 55.304478",Dubai,ATM located adjacent to the main entrance of the shop,,RAKBANK
7a857ed2-1d22-ec11-93a7-8086f2aa5252,"Families Supermarket, Sharjah",Public,"25.322140,55.386640",Sharjah,"ATM located next to the entrance of the supermarket, Jamal Abdul Nasser St.",,RAKBANK
5d0dd39c-eb3a-4e74-9dfe-434d964be85e,First Security Group-Sharaf Exchange ,Not open to public,"25.1343832,55.2527363",Dubai,Al Qouz Ind. Area 2 Dubai,,C3Pay
42857ed2-1d22-ec11-93a7-8086f2aa5252,Fresh KP Mart Supermarket,Public,"25.185087, 55.353161",Dubai,ATM located adjacent to the main entrance of the supermarket,,RAKBANK
41857ed2-1d22-ec11-93a7-8086f2aa5252,Fresh Spot Supermarket ,Public,"25.297487, 55.378751",Dubai,ATM located at the right hand side of main entrance of the supermarket,,RAKBANK
7544682d-b7f5-466d-91a0-02393e49e59d,G4S Secure Solutions LLC 1,Not open to public,"25.1593838,55.2526767",Dubai,Industrial Area 1 Al Qouz,,C3Pay
364a3038-a6f5-478f-9aca-0a7c8dc7b0ac,G4S Secure Solutions LLC 3,Not open to public,"25.2662428,55.4249673",Dubai,Sonapur Muhaisnah 4,,C3Pay
40857ed2-1d22-ec11-93a7-8086f2aa5252,Galaxy Supermarket,Public,"25.276780, 55.311849",Dubai,ATM located at the left hand side of the main entrance,,RAKBANK
56857ed2-1d22-ec11-93a7-8086f2aa5252,Gold Center,Public,"25.271191,55.297499",Dubai,ATM located inside ATM lobby of the gold souq center.,,RAKBANK
65857ed2-1d22-ec11-93a7-8086f2aa5252,Govt Offices  - Wadi Sfini ,Public,"25.175484, 56.091788",RAK,ATM located at the main gate of the entrance to the Govt. Offices building.,,RAKBANK
